device_no,car_type
01241124051,PORTER2
01241124042,PORTER2
01241124047,PORTER2
01241124068,PORTER2
01241124041,PORTER2
01229665632,PORTER2
01241124074,PORTER2
01241144622,PORTER2
01241144663,PORTER2
01241172656,BONGO3
01241144620,BONGO3
01241172690,BONGO3
01241144640,PORTER2
01241172644,BONGO3
01241172647,PORTER2
01241172689,BONGO3
01241172646,BONGO3
01241172649,BONGO3
01241172640,PORTER2
01241225190,BONGO3
01241225191,PORTER2
01241225186,BONGO3
01241225183,PORTER2
01241124043,BONGO3
01241225187,BONGO3
01241225185,BONGO3
01241225192,BONGO3
01241225184,BONGO3
01241225181,BONGO3
01241225189,BONGO3
01241225215,PORTER2
01241225195,PORTER2
01241225226,BONGO3
01241225196,BONGO3
01241225205,BONGO3
01241225193,PORTER2
01241124027,PORTER2
01241225220,BONGO3
01241225177,BONGO3
01241172648,PORTER2
01241225211,BONGO3
01241225194,PORTER2
01241225213,PORTER2
01241225188,PORTER2
01241225209,BONGO3
01241225154,PORTER2
01241225210,PORTER2
01241248562,BONGO3
01241248536,PORTER2
01241248537,BONGO3
01241225212,PORTER2
01241248564,BONGO3
01241248529,PORTER2
01241248558,BONGO3
01241225204,GV60
01241248602,BONGO3
01241248531,BONGO3
01241225198,PORTER2
01241225137,BONGO3
01241248603,BONGO3
01241248530,PORTER2
01241225159,BONGO3
01241225178,PORTER2
01241248607,PORTER2
01241225179,BONGO3
01241225231,BONGO3
01241248605,PORTER2
01241248534,BONGO3
01241248559,PORTER2
01241248761,PORTER2
01241248579,PORTER2
01241248575,PORTER2
01241172671,BONGO3
01241225158,BONGO3
01241248572,BONGO3
01241248576,BONGO3
01241248581,BONGO3
01241248582,BONGO3
01241290676,BONGO3
01241225142,PORTER2
01241248569,BONGO3
01241248678,PORTER2
01241225229,PORTER2
01241225202,BONGO3
01241290668,PORTER2
01241290669,BONGO3
01241248580,BONGO3
01241290666,BONGO3
01241290664,PORTER2
01241290675,BONGO3
01241290674,PORTER2
01241248561,BONGO3
01241290685,PORTER2
01241290683,PORTER2
01241290682,BONGO3
01241290624,BONGO3
01241055568,GV60
01241290663,PORTER2
01241290628,PORTER2
01241290686,PORTER2
01241290679,BONGO3
01241248532,PORTER2
01241290662,PORTER2
01241290658,GV60
01241288353,GV60
01241288217,PORTER2
01241172641,BONGO3
01241288218,PORTER2
01241288221,BONGO3
01241288226,PORTER2
01241288220,PORTER2
01241288354,GV60
01241288225,PORTER2
01241288356,GV60
01241172642,BONGO3
01241144629,GV60
01241288222,PORTER2
01241288364,PORTER2
01241288297,PORTER2
01241248571,PORTER2
